id;first_name;last_name;artist_name;country;date_of_birth;e-mail;password;photo_url
1;Elie;Yaffa;Booba;France;09/12/1976;booba@gmail.com;vincent;booba.jpeg
2;Belcalis;Marlenis Almánzar;Cardi B;United States;11/10/1992;cardi-b@gmail.com;vincent;cardi.jpeg
3;Joseph Junior;Adenuga;Skepta;United-Kingdom;19/09/1982;skepta@gmail.com;vincent;skepta.jpeg
4;Kim;Min-ji;Peggy Gou;Korean;03/07/1991;peggy_gou@gmail.com;vincent;peggy.jpeg
5;Claire;Pommet;Pomme;France;02/08/1996;pomme@gmail.com;vincent;pomme.jpeg
6;Marylou;Mayniel;Oklou;France;23/04/1993;oklou@gmail.com;vincent;oklou.jpeg
7;Matt;Flecher;;France;22/04/1993;matt@gmail.com;vincent;mathieu.jpeg
8;Flory;Hibelot;;France;09/08/1992;flory@gmail.com;vincent;flory.jpeg
9;Marie;Desjonqueres;;France;19/09/1996;marie@gmail.com;vincent;marie.jpeg
10;Alba;Alba Farelo Solé;Bad Gyal;Spain;07/03/1997;badgyal@gmail.com;vincent;badgyal.jpeg
11;Louis;Truc;La Fève;France;01/01/2000;lafeve@gmail.com;vincent;lafeve.jpeg
12;Brendan;Yates;Turnstile;United States;01/01/2000;turnstile@gmail.com;vincent;turnstile.jpeg
